"x","y","z"
-105.033333333333,40.7833333333333,1659
-105.016666666667,40.7833333333333,1660
-105,40.7833333333333,1653
-104.983333333333,40.7833333333333,1666
-104.966666666667,40.7833333333333,1660
-104.95,40.7833333333333,1668
-108.8,40.7666666666667,1866
-108.783333333333,40.7666666666667,1872
-108.766666666667,40.7666666666667,1858
-108.75,40.7666666666667,1844
-108.733333333333,40.7666666666667,1836
-108.716666666667,40.7666666666667,1832
-108.7,40.7666666666667,1910
-108.683333333333,40.7666666666667,1978
-108.666666666667,40.7666666666667,1994
-108.65,40.7666666666667,2071
-108.633333333333,40.7666666666667,2125
-108.616666666667,40.7666666666667,2123
-108.6,40.7666666666667,2052
-108.583333333333,40.7666666666667,2008
-108.566666666667,40.7666666666667,1984
-108.55,40.7666666666667,1963
-108.533333333333,40.7666666666667,1940
-108.516666666667,40.7666666666667,1938
-108.5,40.7666666666667,1932
-108.483333333333,40.7666666666667,1920
-108.466666666667,40.7666666666667,1918
-108.45,40.7666666666667,1913
-108.433333333333,40.7666666666667,1915
-108.416666666667,40.7666666666667,1916
-108.4,40.7666666666667,1921
-108.383333333333,40.7666666666667,1916
-108.366666666667,40.7666666666667,1905
-108.35,40.7666666666667,1904
-108.333333333333,40.7666666666667,1913
-108.316666666667,40.7666666666667,1936
-108.3,40.7666666666667,1992
-108.283333333333,40.7666666666667,2011
-108.266666666667,40.7666666666667,2017
-108.25,40.7666666666667,1950
-108.233333333333,40.7666666666667,1898
-108.216666666667,40.7666666666667,1865
-108.2,40.7666666666667,1829
-108.183333333333,40.7666666666667,1793
-108.166666666667,40.7666666666667,1807
-108.15,40.7666666666667,1829
-108.133333333333,40.7666666666667,1847
-108.116666666667,40.7666666666667,1862
-108.1,40.7666666666667,1889
-108.083333333333,40.7666666666667,1941
-108.066666666667,40.7666666666667,1974
-108.05,40.7666666666667,1998
-108.033333333333,40.7666666666667,2003
-108.016666666667,40.7666666666667,2008
-108,40.7666666666667,2008
-107.983333333333,40.7666666666667,2017
-107.966666666667,40.7666666666667,2035
-107.95,40.7666666666667,2036
-107.933333333333,40.7666666666667,2072
-107.916666666667,40.7666666666667,2097
-107.9,40.7666666666667,2133
-107.883333333333,40.7666666666667,2142
-107.866666666667,40.7666666666667,2148
-107.85,40.7666666666667,2162
-107.833333333333,40.7666666666667,2168
-107.816666666667,40.7666666666667,2165
-107.8,40.7666666666667,2195
-107.783333333333,40.7666666666667,2212
-107.766666666667,40.7666666666667,2204
-107.75,40.7666666666667,2170
-107.733333333333,40.7666666666667,2151
-107.716666666667,40.7666666666667,2132
-107.7,40.7666666666667,2140
-107.683333333333,40.7666666666667,2119
-107.666666666667,40.7666666666667,2157
-107.65,40.7666666666667,2176
-107.633333333333,40.7666666666667,2175
-107.616666666667,40.7666666666667,2172
-107.6,40.7666666666667,2107
-107.583333333333,40.7666666666667,2055
-107.566666666667,40.7666666666667,2033
-107.55,40.7666666666667,2018
-107.533333333333,40.7666666666667,2104
-107.516666666667,40.7666666666667,2250
-107.5,40.7666666666667,2367
-107.483333333333,40.7666666666667,2365
-107.466666666667,40.7666666666667,2424
-107.45,40.7666666666667,2548
-107.433333333333,40.7666666666667,2669
-107.416666666667,40.7666666666667,2743
-107.4,40.7666666666667,2842
-107.383333333333,40.7666666666667,2897
-107.366666666667,40.7666666666667,2891
-107.35,40.7666666666667,3012
-107.333333333333,40.7666666666667,3007
-107.316666666667,40.7666666666667,2949
-107.3,40.7666666666667,2958
-107.283333333333,40.7666666666667,2797
-107.266666666667,40.7666666666667,2724
-107.25,40.7666666666667,2801
-107.233333333333,40.7666666666667,2815
-107.216666666667,40.7666666666667,2710
-107.2,40.7666666666667,2690
-107.183333333333,40.7666666666667,2688
-107.166666666667,40.7666666666667,2628
-107.15,40.7666666666667,2482
-107.133333333333,40.7666666666667,2464
-107.116666666667,40.7666666666667,2559
-107.1,40.7666666666667,2711
-107.083333333333,40.7666666666667,2946
-107.066666666667,40.7666666666667,3055
-107.05,40.7666666666667,3054
-107.033333333333,40.7666666666667,2832
-107.016666666667,40.7666666666667,2647
-107,40.7666666666667,2521
-106.983333333333,40.7666666666667,2503
-106.966666666667,40.7666666666667,2497
-106.95,40.7666666666667,2506
-106.933333333333,40.7666666666667,2511
-106.916666666667,40.7666666666667,2452
-106.9,40.7666666666667,2501
-106.883333333333,40.7666666666667,2515
-106.866666666667,40.7666666666667,2584
-106.85,40.7666666666667,2527
-106.833333333333,40.7666666666667,2454
-106.816666666667,40.7666666666667,2428
-106.8,40.7666666666667,2560
-106.783333333333,40.7666666666667,2534
-106.766666666667,40.7666666666667,2520
-106.75,40.7666666666667,2550
